Id,OpportunityId,CreatedById,CreatedDate,Field,OldValue,NewValue
0172e00000qlE6PAAU,0062e000002LihdAAC,0052e000000VJIEAA4,29/04/2020 0:37,StageName,Awaiting Results,Application
0172e00000qlveeAAA,0062e000002QgrLAAS,0052e000000VJDvAAO,29/04/2020 1:59,StageName,Notice,Closed Lost
0172e00000qlvOjAAI,0062e000002Qgr5AAC,0052e000000VJDvAAO,29/04/2020 1:59,StageName,Notice,Closed Lost
0172e00000qly00AAA,0062e000002NHpuAAG,0052e000000VJDvAAO,29/04/2020 2:03,StageName,Identifying,Closed Lost
0172e00000qlydfAAA,0062e000002MnJqAAK,0052e000000VJDvAAO,29/04/2020 2:04,StageName,Application,Awaiting Results
0172e00000qmMsdAAE,0062e000002HGu8AAG,0052e000000VJC8AAO,29/04/2020 2:52,StageName,Proposing,Closed Lost
0172e00000qmQwdAAE,0062e000002QkHdAAK,0052e000000VJGwAAO,29/04/2020 3:02,StageName,Notice,Identifying
0172e00000qmZZpAAM,0062e000002HGX3AAO,0052e000000VJGtAAO,29/04/2020 3:23,StageName,Identifying,Closed Lost
0172e00000qn1f5AAA,0062e000002MDEHAA4,0052e000000VJCsAAO,29/04/2020 4:29,StageName,Pre-submission,Closed
0172e00000qn1f7AAA,0062e000002MDCaAAO,0052e000000VJCsAAO,29/04/2020 4:30,StageName,Pre-submission,Closed
0172e00000qn26BAAQ,0062e000002MCgPAAW,0052e000000VJCsAAO,29/04/2020 4:31,StageName,Pre-submission,Closed
0172e00000qn38rAAA,0062e000002MCj9AAG,0052e000000VJCsAAO,29/04/2020 4:31,StageName,Pre-submission,Closed
0172e00000qn3fdAAA,0062e000002MCiaAAG,0052e000000VJCsAAO,29/04/2020 4:31,StageName,Pre-submission,Closed
0172e00000qn3KcAAI,0062e000002MDBIAA4,0052e000000VJCsAAO,29/04/2020 4:30,StageName,Pre-submission,Closed
0172e00000qNO3gAAG,0062e000002HG9eAAG,0052e000000VJEBAA4,25/04/2020 22:35,StageName,Identifying,Closed Lost
0172e00000qnOPYAA2,0062e000002R77cAAC,0052e000000VJGwAAO,29/04/2020 5:16,StageName,Notice,Identifying
0172e00000qnUH3AAM,0062e000002HGU7AAO,0052e000000VJC8AAO,29/04/2020 5:30,StageName,Awaiting Results,Closed Lost
0172e00000qo3FZAAY,0062e000002HFyGAAW,0052e000000VJBdAAO,29/04/2020 6:19,StageName,Identifying,Closed Lost
0172e00000qopeRAAQ,0062e000002Qhx8AAC,0052e000000VJDEAA4,29/04/2020 7:13,StageName,Proposing,Closing
0172e00000qowFBAAY,0062e000002IsMmAAK,0052e000000VJDvAAO,29/04/2020 7:18,StageName,Awaiting Results,Closed Lost
0172e00000qr03mAAA,0062e000002HH4wAAG,0052e000000VJDOAA4,29/04/2020 15:21,StageName,Closing,Closed Won
0172e00000qti4IAAQ,0062e000002JP48AAG,0052e000000VJC8AAO,30/04/2020 0:43,StageName,Developing,Identifying
0172e00000qtiKZAAY,0062e000002Hc2PAAS,0052e000000VJC8AAO,30/04/2020 0:42,StageName,Developing,Closed Lost
