Id,RecordType.Name,Industry,Industry_Sub_Type__c,Business_Type__c,Country__c,Is_External__c,ParentId
0012e000004RNjZAAW,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,Australia,External,
0012e000004SKYJAA4,Business Organization,Health,Pharmaceuticals,SME (small to medium enterprise),Australia,External,
0012e000004SqWGAA0,Business Organization,Services,Education,University,Russian Federation,External,
0012e000004T7AyAAK,Business Organization,Materials: Chemicals & Industrial Metals,,SME (small to medium enterprise),Australia,External,
0012e000004TP0MAAW,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000004TPoSAAW,Business Organization,Manufacturing & R&D,Food & Beverage,Multinational / Other Large Corporate,Indonesia,External,
0012e000004UEViAAO,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,Japan,External,
0012e000004VYAbAAO,Business Organization,Energy & Utilities,,Government: Australia: Federal,Australia,External,
0012e000004WLuJAAW,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000004Y7ziAAC,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000004Y8yxAAC,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000004ZpjKAAS,Business Organization,Health,Research Tools/Consumables,Government: International,United States of America,External,
0012e000004a68vAAA,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,Australia,External,
0012e000004aV1pAAE,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000004aggVAAQ,Business Organization,Construction & Construction Materials,,SME (small to medium enterprise),Australia,External,
0012e000004akw9AAA,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000004bf9jAAA,Business Organization,Services,Education,Multinational / Other Large Corporate,Singapore,External,
0012e000004csySAAQ,Business Organization,Public Administration,,University,Peru,External,
0012e000002YmNRAA0,University Department,,,,,Internal,0012e000002ZNYOAA4
0012e000002YnrYAAS,University Department,,,,,Internal,0012e000002Zt1RAAS
0012e000002Z3pPAAS,University Department,,,,,Internal,0012e000002ZLg7AAG
0012e000003A6EYAA0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,Australia,External,
0012e000003A6EcAAK,Business Organization,Public Administration,,Government: Australia: Federal,China,External,0012e000003A6F2AAK
0012e000003A6EdAAK,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6EnAAK,Business Organization,Services,Environmental,Government: Australia: Federal,Australia,External,0012e000003A6FfAAK
0012e000003A6FfAAK,Business Organization,Public Administration,,Government: Australia: Federal,Australia,External,
0012e000003A6FnAAK,Business Organization,Health,Health Care & Healthy Aging,Not for profit,United Kingdom,External,
0012e000003A6FtAAK,Business Organization,Energy & Utilities,,SME (small to medium enterprise),United Kingdom,External,
0012e000003A6G0AAK,Business Organization,Construction & Construction Materials,,Large Australian Corporate,Australia,External,
0012e000003A6G6AAK,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,
0012e000003A6G7AAK,Business Organization,Construction & Construction Materials,,SME (small to medium enterprise),Australia,External,
0012e000003A6GRAA0,Business Organization,Defence,,Multinational / Other Large Corporate,United States of America,External,
0012e000003A6GSAA0,Business Organization,Services,Education,University,Australia,External,
0012e000003A6GvAAK,Business Organization,Services,Financial & Insurance,Government: Australia: Federal,Australia,External,
0012e000003A6NSAA0,Business Organization,Manufacturing & R&D,Food & Beverage,Large Australian Corporate,Australia,External,
0012e000003A6NjAAK,Business Organization,Health,Health Care & Healthy Aging,SME (small to medium enterprise),Australia,External,
