Id,WhatId,ActivityDate,Status,OwnerId,Type,TaskSubtype
00T2e000006MCTWEA4,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MCTMEA4,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MCTCEA4,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MCT7EAO,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MBXIEA4,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MAehEAG,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006LxtjEAC,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006KrhxEAC,0062e000002HGD6AAO,10/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006KrfOEAS,0062e000002HGD6AAO,13/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006K8ebEAC,0062e000002HGD6AAO,10/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006K2SSEA0,0062e000002HGD6AAO,10/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006K2SDEA0,0062e000002HGD6AAO,10/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JzBNEA0,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JyRJEA0,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JyREEA0,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JyFwEAK,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JxRDEA0,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JlavEAC,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JftiEAC,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006IiGzEAK,0062e000002HGD6AAO,8/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006IiG1EAK,0062e000002HGD6AAO,8/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006IgTsEAK,0062e000002HGD6AAO,8/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006IbQoEAK,0062e000002HGD6AAO,7/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006IXcLEAW,0062e000002HGD6AAO,7/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006DCyaEAG,0062e000002HGD6AAO,3/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006939nEAA,0062e000002HGD6AAO,26/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e00000691xHEAQ,0062e000002HGD6AAO,26/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000068YiEEAU,0062e000002HGD6AAO,26/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000068SJ5EAM,0062e000002HGD6AAO,25/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000068SJ0EAM,0062e000002HGD6AAO,25/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000068Rc9EAE,0062e000002HGD6AAO,25/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000068REGEA2,0062e000002HGD6AAO,25/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000068OfwEAE,0062e000002HGD6AAO,25/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000068DnJEAU,0062e000002HGD6AAO,25/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000067jtOEAQ,0062e000002HGD6AAO,24/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000067jeJEAQ,0062e000002HGD6AAO,24/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000067jeEEAQ,0062e000002HGD6AAO,24/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000067ADEEA2,0062e000002HGD6AAO,24/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e00000678GIEAY,0062e000002HGD6AAO,24/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e00000678CHEAY,0062e000002HGD6AAO,24/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e00000675CZEAY,0062e000002HGD6AAO,23/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066ZzuEAE,0062e000002HGD6AAO,23/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066ZzaEAE,0062e000002HGD6AAO,23/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066Zw3EAE,0062e000002HGD6AAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066TdnEAE,0062e000002HGD6AAO,23/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NcoEAE,0062e000002HGD6AAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NceEAE,0062e000002HGD6AAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
